team,scenario,saturday_date,obs_cases_med,obs_cases_low,obs_cases_hi,true_inf_med,true_inf_low,true_inf_hi,population_size,vacc_med,vacc_low,vacc_hi
IDM,0,2010-10-16,1439,1308,1520,7199,6958,7380,10911656,0,0,0
IDM,0,2010-10-23,3151,2965,3712,15663.5,15131,18613,10911656,0,0,0
IDM,0,2010-10-30,3874,3637,10780,19326.5,18487,52981,10911656,0,0,0
IDM,0,2010-11-06,3968,3672,16188,19379,18291,81561,10911656,0,0,0
IDM,0,2010-11-13,4023,3455,25436,20009,17425,126791,10911656,0,0,0
IDM,0,2010-11-20,5537,3396,34566,27748.5,17378,172815,10911656,0,0,0
IDM,0,2010-11-27,9285.5,3459,38729,46263.5,17516,194104,10911656,0,0,0
IDM,0,2010-12-04,15144,3674,39858,75856,18594,198570,10911656,0,0,0
IDM,0,2010-12-11,25824.5,4058,41530,128948,20376,208734,10911656,0,0,0
IDM,0,2010-12-18,36726.5,5392,46636,183820.5,26520,233742,10911656,0,0,0
IDM,0,2010-12-25,40703,7265,46875,204092.5,36334,235001,10911656,0,0,0
IDM,0,2011-01-01,44846,11561,50294,223634,58505,250239,10911656,0,0,0
IDM,0,2011-01-08,44437,17085,49023,222327,86289,246515,10911656,0,0,0
IDM,0,2011-01-15,46839,27047,50640,234195,134665,252769,10911656,0,0,0
IDM,0,2011-01-22,46862.5,37001,48996,233278,186089,244694,10911656,0,0,0
IDM,0,2011-01-29,45923,39866,48485,230520.5,198424,240900,10911656,0,0,0
IDM,0,2011-02-05,44901.5,39539,47838,224126,197680,239017,10911656,0,0,0
IDM,0,2011-02-12,44479,37625,47364,222452.5,187770,237085,10911656,0,0,0
IDM,0,2011-02-19,43657.5,36195,48275,217380,181823,241675,10911656,0,0,0
IDM,0,2011-02-26,41732,34972,49659,209171,175228,246668,10911656,0,0,0
IDM,0,2011-03-05,39998,33493,50211,200183,168821,251454,10911656,0,0,0
IDM,0,2011-03-12,38372,32265,50039,192430.5,161582,249638,10911656,0,0,0
IDM,0,2011-03-19,36456.5,31184,48079,182751,155828,242228,10911656,0,0,0
IDM,0,2011-03-26,35039.5,30613,46523,174971,152776,230277,10911656,0,0,0
IDM,0,2011-04-02,34104,29992,43572,170513.5,151316,217198,10911656,0,0,0
IDM,0,2011-04-09,33005.5,30279,41541,165032.5,149459,206809,10911656,0,0,0
IDM,0,2011-04-16,32679,29852,39851,163632,150600,199084,10911656,0,0,0
IDM,0,2011-04-23,33330,30707,38828,165916.5,153977,193319,10911656,0,0,0
IDM,0,2011-04-30,32838,30579,36964,163569,153503,184149,10911656,0,0,0
IDM,0,2011-05-07,34271.5,32490,37747,171756,162585,188973,10911656,0,0,0
IDM,0,2011-05-14,33775.5,31678,36325,167728.5,158683,182489,10911656,0,0,0
IDM,0,2011-05-21,33124.5,31109,35195,165541.5,155157,176261,10911656,0,0,0
IDM,0,2011-05-28,37939,35971,40554,189484,180113,203407,10911656,0,0,0
IDM,0,2011-06-04,46694,43285,50580,233113.5,216604,253276,10911656,0,0,0
IDM,0,2011-06-11,56908.5,53187,63238,284792,265326,315815,10911656,0,0,0
IDM,0,2011-06-18,54692,49074,61320,272490.5,246606,306526,10911656,0,0,0
IDM,0,2011-06-25,55011.5,47838,63114,274874.5,239287,314684,10911656,0,0,0
IDM,0,2011-07-02,50947,42882,58435,255501,214899,293674,10911656,0,0,0
IDM,0,2011-07-09,45891.5,38268,53995,228871,192064,270232,10911656,0,0,0
IDM,0,2011-07-16,43195,35832,51092,216562,177684,255383,10911656,0,0,0
IDM,0,2011-07-23,40730,33511,49174,204642,166849,245418,10911656,0,0,0
IDM,0,2011-07-30,35730,29396,43178,178904,146193,217398,10911656,0,0,0
IDM,0,2011-08-06,34264,27094,41518,170972,135380,208117,10911656,0,0,0
IDM,0,2011-08-13,29546.5,23382,36207,148051.5,116823,180631,10911656,0,0,0
IDM,0,2011-08-20,26462,21221,33162,132529.5,105091,165546,10911656,0,0,0
IDM,0,2011-08-27,24369,18899,31895,121144.5,95165,157231,10911656,0,0,0
IDM,0,2011-09-03,21942.5,17282,28947,109781,85983,145412,10911656,0,0,0
IDM,0,2011-09-10,20481.5,15970,27668,102251.5,79714,138730,10911656,0,0,0
IDM,0,2011-09-17,18500.5,14263,24708,92476.5,72273,124149,10911656,0,0,0
IDM,0,2011-09-24,17266,13331,23015,86940,67911,115895,10911656,0,0,0
IDM,0,2011-10-01,16385.5,12956,21521,82278,64250,107100,10911656,0,0,0
IDM,0,2011-10-08,15221,12109,19457,76350.5,60467,97742,10911656,0,0,0
IDM,0,2011-10-15,14265,11345,17971,71411.5,57306,89895,10911656,0,0,0
IDM,0,2011-10-22,13826.5,11242,16922,68957,56264,84882,10911656,0,0,0
IDM,0,2011-10-29,12310.5,10090,14728,61154,50341,73952,10911656,0,0,0
IDM,0,2011-11-05,11091,8966,13305,55388.5,45420,66595,10911656,0,0,0
IDM,0,2011-11-12,10031.5,8031,12056,50158.5,39971,60470,10911656,0,0,0
IDM,0,2011-11-19,9230,7183,11156,46089,36087,55826,10911656,0,0,0
IDM,0,2011-11-26,8453.5,6528,10682,42280,32287,52673,10911656,0,0,0
IDM,0,2011-12-03,7740,5905,10025,38633.5,29560,49901,10911656,0,0,0
IDM,0,2011-12-10,7128,5475,9348,35564,27055,47019,10911656,0,0,0
IDM,0,2011-12-17,6475,5069,9124,32624,25229,45075,10911656,0,0,0
IDM,0,2011-12-24,6035.5,4614,8736,30182.5,23412,43180,10911656,0,0,0
IDM,0,2011-12-31,5553.5,4243,8253,27797,21493,41127,10911656,0,0,0
IDM,0,2012-01-07,5209.5,3976,8110,25902,19761,40301,10911656,0,0,0
IDM,0,2012-01-14,4819,3709,7613,24004.5,18691,37987,10911656,0,0,0
IDM,0,2012-01-21,4397.5,3532,7272,22163.5,17774,36747,10911656,0,0,0
